name,address,city,state,source_url
Ozarka College,218 College Dr,Melbourne,AR,https://databayou.com/usofa/colleges.html
University of the Ozarks,415 N College Ave,Clarksville,AR,https://databayou.com/usofa/colleges.html
University of Arkansas Community College-Morrilton,1537 University Blvd.,Morrilton,AR,https://databayou.com/usofa/colleges.html
Philander Smith College,900 W. Daisy Bates Drive,Little Rock,AR,https://databayou.com/usofa/colleges.html
Phillips Community College of the University of Arkansas,1000 Campus Drive,Helena,AR,https://databayou.com/usofa/colleges.html
Southeast Arkansas College,1900 Hazel St.,Pine Bluff,AR,https://databayou.com/usofa/colleges.html
Professional Cosmetology Education Center,460 North Washington,El Dorado,AR,https://databayou.com/usofa/colleges.html
Pulaski Technical College,3000 W Scenic Dr,North Little Rock,AR,https://databayou.com/usofa/colleges.html
University of Arkansas Community College-Hope,2500 S Main,Hope,AR,https://databayou.com/usofa/colleges.html
Rich Mountain Community College,1100 College Dr,Mena,AR,https://databayou.com/usofa/colleges.html
Paul Mitchell the School-Arkansas,4156 N Steele Blvd,Fayetteville,AR,https://databayou.com/usofa/colleges.html
Searcy Beauty College,1004 S Main St,Searcy,AR,https://databayou.com/usofa/colleges.html
Shorter College,604 Locust St,N Little Rock,AR,https://databayou.com/usofa/colleges.html
Williams Baptist College,60 W Fulbright Avenue,Walnut Ridge,AR,https://databayou.com/usofa/colleges.html
South Arkansas Community College,300 S West Ave,El Dorado,AR,https://databayou.com/usofa/colleges.html
Southern Arkansas University Main Campus,100 E. University,Magnolia,AR,https://databayou.com/usofa/colleges.html
Southern Arkansas University Tech,6415 Spellman Road,Camden,AR,https://databayou.com/usofa/colleges.html
University of Arkansas System Office,2404 N University,Little Rock,AR,https://databayou.com/usofa/colleges.html
Velvatex College of Beauty Culture,1520 Martin Luther King Dr,Little Rock,AR,https://databayou.com/usofa/colleges.html
University of Arkansas-Fort Smith,5210 Grand Ave,Fort Smith,AR,https://databayou.com/usofa/colleges.html
Academy of Art University,79 New Montgomery,San Francisco,CA,https://databayou.com/usofa/colleges.html
